DRUG,DOSE,ID,OBS,TIME,TIME_UNIT,EVID,CENS,AMT,TINF,WT,UNIT,YTYPE,YNAME,MDV,STUDY,SPECIES,SEX
Vinorelbine,5,5073,.,0,hours,1,0,1.066,0.0177666666666667,0.2132,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5074,.,0,hours,1,0,0.9025,0.0150416666666667,0.1805,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5075,.,0,hours,1,0,0.936,0.0156,0.1872,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5076,.,0,hours,1,0,0.9205,0.0153416666666667,0.1841,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5077,.,0,hours,1,0,0.945,0.01575,0.189,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5078,.,0,hours,1,0,0.9715,0.0161916666666667,0.1943,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5079,.,0,hours,1,0,0.977,0.0162833333333333,0.1954,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5080,.,0,hours,1,0,0.9775,0.0162916666666667,0.1955,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5081,.,0,hours,1,0,1.0245,0.017075,0.2049,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5082,.,0,hours,1,0,0.9905,0.0165083333333333,0.1981,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5083,.,0,hours,1,0,0.935,0.0155833333333333,0.187,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5084,.,0,hours,1,0,0.93,0.0155,0.186,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5085,.,0,hours,1,0,1.924,0.0160333333333333,0.1924,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5086,.,0,hours,1,0,2.124,0.0177,0.2124,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5087,.,0,hours,1,0,2.17,0.0180833333333333,0.217,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5088,.,0,hours,1,0,1.96,0.0163333333333333,0.196,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5089,.,0,hours,1,0,2.06,0.0171666666666667,0.206,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5090,.,0,hours,1,0,2.102,0.0175166666666667,0.2102,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5091,.,0,hours,1,0,1.94,0.0161666666666667,0.194,mg,1,Vinorelbine,0,0470-2008,Rat,Male
