Time,Y,Y_type,CL_Drug,ConcInit,CL,Drug
18,0,IL2,HighExprHighAffinity,0,HighExpr,HighAffinity
44,0,IL2,HighExprHighAffinity,0,HighExpr,HighAffinity
68,1.27791,IL2,HighExprHighAffinity,0,HighExpr,HighAffinity
94,1.52683433333333,IL2,HighExprHighAffinity,0,HighExpr,HighAffinity
18,0,IL2,HighExprHighAffinity,0.5,HighExpr,HighAffinity
44,0,IL2,HighExprHighAffinity,0.5,HighExpr,HighAffinity
68,2.21137766666667,IL2,HighExprHighAffinity,0.5,HighExpr,HighAffinity
94,21.2541123333333,IL2,HighExprHighAffinity,0.5,HighExpr,HighAffinity
18,0,IL2,HighExprHighAffinity,5,HighExpr,HighAffinity
44,0,IL2,HighExprHighAffinity,5,HighExpr,HighAffinity
68,1.58906566666667,IL2,HighExprHighAffinity,5,HighExpr,HighAffinity
94,1.02898533333333,IL2,HighExprHighAffinity,5,HighExpr,HighAffinity
18,0,IL2,HighExprHighAffinity,50,HighExpr,HighAffinity
44,0,IL2,HighExprHighAffinity,50,HighExpr,HighAffinity
68,1.360885,IL2,HighExprHighAffinity,50,HighExpr,HighAffinity
94,1.25716633333333,IL2,HighExprHighAffinity,50,HighExpr,HighAffinity
18,8.31081333333333,IL2,HighExprHighAffinity,500,HighExpr,HighAffinity
44,68.99023,IL2,HighExprHighAffinity,500,HighExpr,HighAffinity
68,39.9442033333333,IL2,HighExprHighAffinity,500,HighExpr,HighAffinity
94,2.605508,IL2,HighExprHighAffinity,500,HighExpr,HighAffinity
18,10.2538046666667,IL2,HighExprHighAffinity,5000,HighExpr,HighAffinity
44,107.358706666667,IL2,HighExprHighAffinity,5000,HighExpr,HighAffinity
68,168.6175,IL2,HighExprHighAffinity,5000,HighExpr,HighAffinity
94,12.9773676666667,IL2,HighExprHighAffinity,5000,HighExpr,HighAffinity
18,22.49242,IL2,HighExprHighAffinity,50000,HighExpr,HighAffinity
44,147.268213333333,IL2,HighExprHighAffinity,50000,HighExpr,HighAffinity
68,278.994793333333,IL2,HighExprHighAffinity,50000,HighExpr,HighAffinity
94,421.93979,IL2,HighExprHighAffinity,50000,HighExpr,HighAffinity
18,0,IL10,HighExprHighAffinity,0,HighExpr,HighAffinity
44,0,IL10,HighExprHighAffinity,0,HighExpr,HighAffinity
68,0,IL10,HighExprHighAffinity,0,HighExpr,HighAffinity
94,0,IL10,HighExprHighAffinity,0,HighExpr,HighAffinity
18,0,IL10,HighExprHighAffinity,0.5,HighExpr,HighAffinity
44,0,IL10,HighExprHighAffinity,0.5,HighExpr,HighAffinity
68,68.9346733333334,IL10,HighExprHighAffinity,0.5,HighExpr,HighAffinity
94,130.7422,IL10,HighExprHighAffinity,0.5,HighExpr,HighAffinity
18,52.7260666666667,IL10,HighExprHighAffinity,5,HighExpr,HighAffinity
44,43.1117633333333,IL10,HighExprHighAffinity,5,HighExpr,HighAffinity
68,143.547623333333,IL10,HighExprHighAffinity,5,HighExpr,HighAffinity
94,402.8433,IL10,HighExprHighAffinity,5,HighExpr,HighAffinity
18,119.894943333333,IL10,HighExprHighAffinity,50,HighExpr,HighAffinity
44,219.844366666667,IL10,HighExprHighAffinity,50,HighExpr,HighAffinity
68,250.5441,IL10,HighExprHighAffinity,50,HighExpr,HighAffinity
94,387.448333333333,IL10,HighExprHighAffinity,50,HighExpr,HighAffinity
18,197.8594,IL10,HighExprHighAffinity,500,HighExpr,HighAffinity
