,#ID,TIME in day,TUMOUR VOLUME in cm^3,BODY WEIGHT in g
0,40,0,0.191808,26.8
1,94,0,0.07724750000000001,18.3
2,95,0,0.1862,22.3
59,136,0,0.1185885,25.4
60,140,0,0.0793305,22.7
61,155,0,0.105875,26.0
62,169,0,0.12300799999999999,26.9
63,170,0,0.0800565,28.3
153,140,2,0.12685200000000002,23.6
152,169,2,0.128774,26.8
148,155,2,0.167706,27.3
147,136,2,0.175071,26.2
137,95,2,0.24642,23.0
136,40,2,0.249158,26.1
156,170,2,0.094221,27.7
157,94,2,0.0884835,18.2
123,155,4,0.35632800000000003,27.5
127,40,4,0.33067199999999997,26.5
145,169,4,0.1764,26.2
112,95,4,0.4293,22.4
140,136,4,0.22999200000000003,28.3
154,94,4,0.125316,18.5
155,170,4,0.10933,27.9
151,140,4,0.146072,23.6
150,170,7,0.158994,28.8
149,94,7,0.165528,18.3
141,169,7,0.20516650000000003,26.2
135,140,7,0.261121,24.4
101,95,7,0.62426,23.6
97,40,7,0.6683669999999999,26.5
130,136,7,0.30268849999999997,28.0
99,155,7,0.6489600000000001,28.2
96,155,9,0.692224,28.7
131,136,9,0.30268849999999997,25.1
93,95,9,0.7246720000000001,24.1
84,40,9,0.915008,27.1
144,94,9,0.189486,18.7
146,170,9,0.176157,29.3
139,169,9,0.2460535,27.3
125,140,9,0.34574400000000005,25.0
132,169,11,0.2788425,26.6
124,140,11,0.3552,23.5
133,94,11,0.264654,17.9
120,136,11,0.37044,22.9
92,155,11,0.7300800000000001,27.9
91,95,11,0.7300800000000001,22.7
143,170,11,0.1940785,28.6
80,40,11,1.119258,26.0
87,155,14,0.81648,28.6
142,170,14,0.20416050000000002,29.5
126,169,14,0.333036,28.0
108,136,14,0.5341545,24.1
83,95,14,0.9196000000000001,23.6
76,40,14,1.470432,26.4
134,94,14,0.264654,18.4
114,140,14,0.41905000000000003,24.8
138,170,16,0.246402,28.9
122,169,16,0.356445,27.6
128,94,16,0.306936,18.2
72,40,16,1.6692479999999998,26.0
98,136,16,0.651688,23.9
79,95,16,1.131184,23.3
75,155,16,1.494954,29.0
109,140,16,0.480298,24.3
69,40,18,1.752192,25.4
129,170,18,0.3050865,26.8
105,140,18,0.556668,23.8
94,136,18,0.7212869999999999,23.0
71,95,18,1.675872,23.3
118,94,18,0.389207,18.7
117,169,18,0.39285000000000003,26.6
74,155,18,1.5166985,28.0
110,169,21,0.47985900000000004,27.9
64,95,21,2.346616,23.3
89,136,21,0.78732,24.0
121,170,21,0.3683265,28.7
65,40,21,2.276736,26.2
119,94,21,0.389207,20.0
88,140,21,0.8089919999999999,23.3
70,155,21,1.72405,28.9
73,155,23,1.637784,28.5
85,140,23,0.857304,23.7
86,136,23,0.8529505000000001,23.7
116,94,23,0.405769,20.2
115,170,23,0.418176,27.3
107,169,23,0.539055,27.4
66,155,25,2.25108,29.6
113,94,25,0.4264715,20.3
100,169,25,0.6354195,28.6
82,140,25,1.097675,24.8
81,136,25,1.104558,24.7
111,170,25,0.4396155,28.7
104,170,28,0.5661554999999999,28.5
68,140,28,1.9921440000000001,24.7
95,169,28,0.7146180000000001,27.5
78,136,28,1.13288,24.6
106,94,28,0.5551309999999999,20.0
77,136,30,1.4593425,24.2
103,94,30,0.57624,19.2
90,169,30,0.7469865,28.0
67,140,30,2.1225820000000004,24.1
102,170,30,0.6206265,27.5
